sampleID,pdo_sample
RP-571_CCLF_AB1031T_v1_RNA_OnPrem,SM-HWXNJ
RP-571_CCLF_AB1036T_v1_RNA_OnPrem,SM-HWXNB
RP-571_CCLF_AB1039T_v1_RNA_OnPrem,SM-HWXNP
RP-571_CCLF_AB1040T_PF_v1_RNA_OnPrem,SM-HWXNI
RP-571_CCLF_AB1041T_v1_RNA_OnPrem,SM-HWXNA
RP-571_CCLF_AB1049T_ASC_v1_RNA_OnPrem,SM-HWXNO
RP-571_CCLF_AB1053T_ASC_v1_RNA_OnPrem,SM-HWXNN
RP-571_CCLF_AB1054T_v1_RNA_OnPrem,SM-HWXND
RP-571_CCLF_AB1066T_v1_RNA_OnPrem,SM-HWXNU
RP-571_CCLF_AB1067T_v1_RNA_OnPrem,SM-I7WCD
RP-571_CCLF_AB1068T_ASC_v1_RNA_OnPrem,SM-HWXNC
RP-571_CCLF_AB1070T_ASC_v1_RNA_OnPrem,SM-HWXN9
RP-571_CCLF_AB1075T_v1_RNA_OnPrem,SM-I7WCF
RP-571_CCLF_AB1081T_v1_RNA_OnPrem,SM-HWXNL
RP-571_CCLF_KL1023T_v2_RNA_OnPrem,SM-IFMSU
RP-571_CCLF_KL1060T_v2_RNA_OnPrem,SM-IFMSH
RP-571_CCLF_KL1066T_v2_RNA_OnPrem,SM-IFMSF
RP-571_CCLF_KL1092T_v2_RNA_OnPrem,SM-IFMSG
RP-571_CCLF_KL1154T_v2_RNA_OnPrem,SM-IFMST
RP-571_CY018T_v2_RNA_OnPrem,SM-IFMSE
RP-571_CY020T_v2_RNA_OnPrem,SM-IFMSO
RP-571_DW036T_v2_RNA_OnPrem,SM-IFMSI
SM045-Tumor-SM-AREHF,SM-GXIZU
SP022-Tumor-SM-B289M,SM-GXJ1U
SP025-Tumor-SM-C1JOO,SM-GXJ1S
SP025-Tumor-SM-HPY1Q,SM-HPY1Q
