sampleID
AB002T_BT
AB018T_ASC_SUS
AB018T_PF_SUS
AB002T_AT
AB039T
AB040T_PF
AB018T_PF_SUS_REPEAT
AB018T_ASC_SUS_REPEAT
AB053T
AB035T_PDX
AB058T_ASC
AB035T
CCLF_AB1008T_ASC
CCLF_AB1070T_ASC
CCLF_AB1041T
CCLF_AB1036T
CCLF_AB1068T_ASC
CCLF_AB1054T
CCLF_AB1013T
CCLF_AB1018T
CCLF_AB1040T_PF
CCLF_AB1031T
CCLF_AB1081T
CCLF_AB1017T
CCLF_AB1053T_ASC
CCLF_AB1049T_ASC
CCLF_AB1039T
CCLF_AB1029T_ASC
CCLF_AB1016T
CCLF_AB1030T
CCLF_AB1021T_ASC
CCLF_AB1066T
CCLF_AB1067T
CCLF_AB1004T
CCLF_AB1075T
CCLF_AB1111T
CCLF_AB1100T
CCLF_AB1109T
CCLF_AB1107T
CCLF_AB1094T
CCLF_AB1098T
CCLF_AB1105T
CCLF_AB1079T
CCLF_AB1080T
CCLF_AB1083T_PF
CCLF_AB1097T_ASC
CCLF_AB1090T
CCLF_AB1092T
CCLF_AB1091T
CCLF_AB1086T_ASC
AA01T
AA02T
AA02T
AA22T
AA22T
AA22T_OPAC
AA23T
AA25T
AA26T
AA26T_OPAC
AA31T
AA31T_OPAC
AA40T
AA42T
AA42T_OPAC
AA55T
AA56T
AA56T_OPAC
AA59T
AA59T_OPAC
COL016T
CY001T
CY002T
CY003T
CY004T
CY006T
CY012T
CY016T
CY017T
CY018T
CY020T
CCLF_cRCRF1001T
CCLF_cRCRF1006T
CCLF_cRCRF1015T
CCLF_cRCRF1016T
CCLF_cRCRF1017T
CCLF_cRCRF1020T
CCLF_cRCRF1047T
CCLF_cRCRF1052T
CCLF_cRCRF1068T
CCLF_RCRF1050T
EW010T
CCLF_PEDS1011T
PEDS012T_P
PEDS012T_p26
PEDS015T
PEDS018T
PEDS018T
PEDS078T_1
PEDS092T_PF
PEDS1012T_p24
PEDS1041T_p10
PEDS110T_PF
PEDS110T_PF_Repeat
PEDS117T_PF
PEDS118T
PEDS145T_p7
PEDS145T_PDX_p5
PEDS149T
PEDS157T_AT
PEDS172T_PF_REPEAT
PEDS187T
PEDS196T_p19
PEDS204T_p7
PEDS204T_PDX_p8
HG002T
HG018T_2
HG019T
JL16
JL27
JL27_REPEAT
JL30
JL36
JL37
JL42
JL49T_PF
JL50T_PF2
JL56T
BT1009
BT1018
BT584
BT607
BT632
BT856
BT890
BT921
BT923
BT923
BT924
BT953
BT954
BT987
BT990
CCLF_KL1023T
CCLF_KL1060T
CCLF_KL1066T
CCLF_KL1092T
CCLF_KL1149T
CCLF_KL1154T
CCLF_KL1230T
SM045T
CCLF_NH1002T
CCLF_NH1003T
CCLF_NH1006T
CCLF_SS1002T
CCLF_SS1009T
SP022T
SP025T_LN
SP025T_P
DW019T
DW020T
DW023T
DW036T
